Component,Explained_Variance,Cumulative_Variance
399,0.0023817142891814852,97.36695021314127
400,0.0023798940885834236,97.36933010722986
401,0.0023785714362861525,97.37170867866615
402,0.0023761758373649455,97.37408485450351
403,0.00237458956292717,97.37645944406643
404,0.002367928283977636,97.3788273723504
405,0.002365638580413816,97.38119301093082
406,0.002360823647678187,97.38355383457849
407,0.002355525780371181,97.38590936035887
408,0.0023527256976938666,97.38826208605657
409,0.002346437233202753,97.39060852328977
410,0.0023437431561571754,97.39295226644592
411,0.002334127348007443,97.39528639379392
412,0.002333358639874223,97.3976197524338
413,0.0023306468309429043,97.39995039926474
414,0.0023169451624718246,97.4022673444272
415,0.0023110786129431696,97.40457842304015
416,0.0023078947767942513,97.40688631781694
417,0.00230226286545064,97.4091885806824
418,0.0022990100470464954,97.41148759072944
419,0.0022947220188183643,97.41378231274825
420,0.0022913505289368307,97.41607366327719
421,0.0022827044238257874,97.41835636770102
422,0.0022769950236759687,97.4206333627247
423,0.002274840508006156,97.42290820323271
424,0.002267190475220033,97.42517539370793
425,0.0022655076222322626,97.42744090133016
426,0.0022578012952579837,97.42969870262542
427,0.002254613201188896,97.43195331582662
428,0.0022442324556677484,97.43419754828228
429,0.0022310877172408306,97.43642863599953
430,0.0022291122891026447,97.43865774828862
431,0.0022227766704954097,97.44088052495911
432,0.0022141912635129943,97.44309471622263
433,0.0022086268375914454,97.44530334306023
434,0.0022046777039573737,97.44750802076419
435,0.002199020739546526,97.44970704150373
436,0.0021924256950070467,97.45189946719873
437,0.0021851289959871722,97.45408459619472
438,0.0021807068200270065,97.45626530301476
439,0.0021761795803215372,97.45844148259508
440,0.002168936855367994,97.46061041945046
441,0.002160013738971737,97.46277043318943
442,0.0021535053643889327,97.46492393855381
443,0.002148634073820682,97.46707257262763
444,0.0021411557728539137,97.46921372840049
445,0.0021366786248151926,97.4713504070253
446,0.002126844984567332,97.47347725200987
447,0.002123981749649869,97.4756012337595
448,0.00212119949605705,97.47772243325556
449,0.0021101273685598513,97.47983256062412
450,0.0021066803381824734,97.4819392409623
451,0.0021057911452768054,97.48404503210759
452,0.002096660285273851,97.48614169239286
453,0.00209227565678587,97.48823396804966
454,0.0020846114906856055,97.49031857954034
455,0.0020769025823704954,97.4923954821227
456,0.0020705342458568294,97.49446601636856
457,0.0020619435316913516,97.49652795990026
458,0.002055660995425436,97.49858362089569
459,0.0020387796969331302,97.50062240059262
460,0.0020305372684731675,97.50265293786109
461,0.0020254081020926393,97.50467834596319
462,0.002015718433709,97.5066940643969
463,0.002010080678398948,97.50870414507528
464,0.002003003709663887,97.51070714878495
465,0.001996982063091052,97.51270413084804
466,0.0019900983787730347,97.5146942292268
467,0.0019833291033857676,97.51667755833019
468,0.001978299749093815,97.51865585807928
469,0.0019727794914166964,97.52062863757071
470,0.001970902365792463,97.5225995399365
471,0.0019545113684541465,97.52455405130495
472,0.0019501170355075376,97.52650416834045
473,0.001945806583666743,97.52844997492413
474,0.0019432337103514152,97.53039320863448
475,0.0019356051830161517,97.53232881381749
476,0.0019322100106279184,97.53426102382812
477,0.001930091189674968,97.53619111501779
478,0.0019226912503974066,97.53811380626819
479,0.0019161430940498778,97.54002994936224
480,0.0019089117966947734,97.54193886115894
481,0.0019001412633494156,97.54383900242229
482,0.001896148689460991,97.54573515111174
483,0.0018910801616147885,97.54762623127337
484,0.0018842335389173503,97.54951046481229
485,0.0018796399143824272,97.55139010472666
486,0.0018768019536305946,97.55326690668029
487,0.0018689962979781581,97.55513590297828
488,0.00186292208491417,97.55699882506319
489,0.00185766393478616,97.55885648899798
490,0.0018541692900527582,97.56071065828803
491,0.0018413787816756349,97.56255203706971
