pl_name,pl_rade,pl_eqt,habitability_score
HD 110113 b,1.745,2128.0,0.0
TOI-4155 b,2.81,934.0,0.0
TOI-4184 b,2.5,641.0,0.0
TOI-4201 b,8.33948164,555.4,0.0
HD 135694 b,2.697,637.0,0.0
TOI-421 c,2.63,800.0,0.0
TOI-4214 b,1.36,543.0,0.0
HD 1397 b,0.892,701.0,0.0
HD 152843 b,4.898,1076.0,0.0
TOI-431 d,15.4,1561.0,0.0
TOI-4329 b,2.734,435.0,0.0
HD 152843 c,9.17,944.2,0.0
TOI-4342 b,2.94,686.0,0.0
TOI-4342 c,2.62,469.0,0.0
TOI-4364 b,2.926,1253.0,0.0
TOI-4377 b,1.704,871.0,0.0
TOI-4379 b,2.587,665.0,0.0
TOI-4406 b,9.16894621,995.3,0.0
TOI-4438 b,3.64,944.2,0.0
TOI-444 b,14.06727078,1529.0,0.0
TOI-4443.01,11.99363,1397.0,0.0
TOI-4463 A b,13.125739,1192.0,0.0
HD 15337 b,2.607,546.0,0.0
TOI-4479 b,9.550068,1526.0,0.0
TOI-4487 A b,2.765,941.0,0.0
TOI-4495.01,1.841,1329.0,0.0
HD 15906 c,0.75,909.0,0.0
HD 183579 b,0.818,723.0,0.0
TOI-451 b,1.24,996.0,0.0
