P_NAME,P_MASS_EST,P_RADIUS_EST,P_PERIOD,P_DISTANCE,P_TEMP_EQUIL,S_TEMPERATURE,S_LUMINOSITY,S_RADIUS,S_MASS,S_METALLICITY,Predicted_Class,Habitability_Score,Confidence_Conservative,Confidence_Optimistic
HD 111232 b,2269.2919,12.625974,1143.0,2.0094,163.80114,5512.0,0.66990081,0.9,0.84,-0.43,0,0.0011452321,8.784406e-05,0.001057388
KIC 3558849 b,38.181458,6.90536,1322.3,2.3413785,178.76352,6175.0,1.32886,1.01,0.98,-0.42,0,0.0011452321,8.784406e-05,0.001057388
HD 190984 b,985.26681,13.098082,4885.0,6.393475,136.128,5988.0,2.6964891,1.53,0.91,-0.48,0,0.0011452321,8.784406e-05,0.001057388
HD 133131 A c,133.48776,14.302258,3568.0,5.0290245,120.40471,5799.0,1.0725671,,0.95,-0.306,0,0.0011347486,7.734946e-05,0.0010573991
Kepler-444 b,0.03759075,0.40356,3.6001053,0.042314784,940.82981,5046.0,0.32673838,0.75,0.76,-0.55,0,0.0011235985,0.0010235435,0.00010005505
Kepler-444 e,0.11349749,0.54929,7.743493,0.069948,729.656,5046.0,0.32673838,0.75,0.76,-0.55,0,0.0011235985,0.0010235435,0.00010005505
Kepler-444 f,0.33006436,0.73986,9.740486,0.084510255,672.74232,5046.0,0.32673838,0.75,0.76,-0.55,0,0.0011235985,0.0010235435,0.00010005505
Kepler-444 d,0.097750299,0.52687,6.189392,0.060972,784.75157,5046.0,0.32673838,0.75,0.76,-0.55,0,0.0011235985,0.0010235435,0.00010005505
Kepler-444 c,0.077169769,0.49324,4.5458841,0.05115532,866.48782,5046.0,0.32673838,0.75,0.76,-0.55,0,0.0011235985,0.0010235435,0.00010005505
GJ 3138 d,10.501037,3.2283528,257.8,0.7337376,137.75525,3717.0,0.04275618,0.5,0.68,-0.3,0,0.0011184715,0.00014949523,0.00096897624
BD-11 4672 b,168.44884,14.156616,1667.0,2.28285,94.183848,4475.0,0.097155523,0.52,0.57,-0.48,0,0.0011183653,0.00010836316,0.0010100022
GJ 625 b,2.8191344,1.4879674,14.628,0.07902315,306.42984,3499.0,0.012905885,0.31,0.3,-0.38,0,0.0011119227,0.0009967203,0.00011520244
Kepler-52 d,4.4638619,1.95054,36.445171,0.182,329.60267,4263.0,0.092795311,0.56,,,0,0.0010907166,4.2223684e-05,0.0010484928
