name,planet_status,mass,radius,orbital_period,semi_major_axis,eccentricity,detection_type,star_name,star_mass,star_radius,star_teff,star_metallicity,star_distance,star_sp_type,discovered,updated,publication
Kepler-1575 b,Confirmed,0.37,0.117,2.55314213,0.102,0.062,Primary Transit,Kepler-1575,0.95,0.92,5667.0,-0.07,1170.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1576 b,Confirmed,0.37,0.093,6.98471973,0.102,0.062,Primary Transit,Kepler-1576,1.01,0.961,5674.51,0.305,460.91,G3V,2016,2021-02-05,Announced on a website
Kepler-1577 b,Confirmed,0.37,0.101,6.30560247,0.102,0.062,Primary Transit,Kepler-1577,0.78,0.74,4862.0,0.0,543.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1578 b,Confirmed,0.37,0.093,1.45088691,0.102,0.062,Primary Transit,Kepler-1578,0.9,0.86,5545.0,-0.13,1016.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1579 Ab,Confirmed,0.37,0.075,0.84990789,0.102,0.062,Primary Transit,Kepler-1579 A,0.75,0.7,4584.0,0.11,466.0,K5V,2016,2025-03-01,Announced on a website
Kepler-157 Ab,Confirmed,0.37,0.118,1.732342,0.028,0.062,Primary Transit,Kepler-157 A,0.95,1.04,5774.0,-0.108,791.27,G2V,2014,2025-02-25,Announced on a website
Kepler-157 Ac,Confirmed,0.37,0.2,13.5405,0.11,0.062,Primary Transit,Kepler-157 A,0.95,1.04,5774.0,-0.108,791.27,G2V,2014,2025-02-25,Announced on a website
Kepler-157 Ad,Confirmed,0.37,0.13,7.02573474,0.102,0.062,Primary Transit,Kepler-157 A,0.95,1.04,5774.0,-0.108,791.27,G2V,2016,2025-02-25,Announced on a website
Kepler-1580 b,Confirmed,0.37,0.188,56.6449279,0.102,0.062,Primary Transit,Kepler-1580,1.47,2.15,6228.0,0.12,872.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1581 b,Confirmed,0.37,0.071,6.28385491,0.102,0.062,Primary Transit,Kepler-1581,1.12,1.23,6022.0,0.07,443.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1582 b,Confirmed,0.37,0.133,4.83817712,0.102,0.062,Primary Transit,Kepler-1582,0.28,0.3,3208.0,0.48,112.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1583 Ab,Confirmed,0.37,0.066985,9.32807355,0.102,0.062,Primary Transit,Kepler-1583 A,0.94,0.91,5645.0,-0.07,357.0,Unknown,2016,2025-03-12,Announced on a website
Kepler-1584 b,Confirmed,0.37,0.144,13.3997099,0.102,0.062,Primary Transit,Kepler-1584,1.1,1.13,6069.0,0.0,1325.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1585 b,Confirmed,0.37,0.16,3.5827463,0.102,0.062,Primary Transit,Kepler-1585,0.94,0.91,5538.0,0.08,1269.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1586 b,Confirmed,0.37,0.136,15.6049212,0.102,0.062,Primary Transit,Kepler-1586,1.45,1.75,6681.0,0.06,864.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1587 b,Confirmed,0.37,0.119,9.4060467,0.102,0.062,Primary Transit,Kepler-1587,1.08,1.22,5933.0,0.07,907.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1588 b,Confirmed,0.37,0.068,7.84931739,0.102,0.062,Primary Transit,Kepler-1588,0.96,0.99,5817.0,-0.14,658.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1589 b,Confirmed,0.37,0.097,0.99166527,0.102,0.062,Primary Transit,Kepler-1589,1.18,1.25,6166.0,0.08,1418.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-158 b,Confirmed,0.37,0.189,16.709184,0.111,0.062,Primary Transit,Kepler-158,0.73,0.65,4628.0,-0.03,315.177,K4V,2014,2021-02-05,Announced on a website
Kepler-158 c,Confirmed,0.37,0.17,28.551383,0.158,0.062,Primary Transit,Kepler-158,0.73,0.65,4628.0,-0.03,315.177,K4V,2014,2021-02-05,Announced on a website
Kepler-158 d,Confirmed,0.37,0.066985,0.645088,0.0124,0.062,Primary Transit,Kepler-158,0.73,0.65,4628.0,-0.03,315.177,K4V,2023,2024-10-18,Published in a refereed paper
Kepler-1590 b,Confirmed,0.37,0.102,7.61760804,0.102,0.062,Primary Transit,Kepler-1590,1.11,1.16,6053.0,0.03,900.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1591 b,Confirmed,0.37,0.113,8.18504949,0.102,0.062,Primary Transit,Kepler-1591,1.1,1.16,6082.0,0.01,1090.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1592 b,Confirmed,0.37,0.137,3.05710069,0.102,0.062,Primary Transit,Kepler-1592,1.18,1.28,6213.0,0.04,1349.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1593 b,Confirmed,0.37,0.283,174.509835,0.102,0.062,Primary Transit,Kepler-1593,0.81,0.77,4995.0,0.02,755.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1594 b,Confirmed,0.37,0.095,2.71603809,0.102,0.062,Primary Transit,Kepler-1594,1.06,1.08,5946.0,0.03,1100.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1595 b,Confirmed,0.37,0.11,4.56380468,0.102,0.062,Primary Transit,Kepler-1595,0.84,0.8,5203.0,-0.02,841.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1596 b,Confirmed,0.37,0.17,66.373379,0.102,0.062,Primary Transit,Kepler-1596,0.95,0.92,5706.0,-0.11,1166.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1597 b,Confirmed,0.37,0.095,2.94654179,0.102,0.062,Primary Transit,Kepler-1597,1.25,1.39,6377.0,0.02,1255.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1598 b,Confirmed,0.37,0.085,4.34195123,0.102,0.062,Primary Transit,Kepler-1598,1.07,1.09,5940.0,0.04,734.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1599 b,Confirmed,0.37,0.145,122.363553,0.102,0.062,Primary Transit,Kepler-1599,0.99,0.99,5767.0,0.02,1004.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-159 b,Confirmed,0.37,0.212,10.139623,0.082,0.062,Primary Transit,Kepler-159,0.95,0.66,4625.0,-0.911,377.79,M0 V,2014,2021-02-05,Announced on a website
Kepler-159 c,Confirmed,0.37,0.304,43.595792,0.218,0.062,Primary Transit,Kepler-159,0.95,0.66,4625.0,-0.911,377.79,M0 V,2014,2021-02-05,Announced on a website
Kepler-15 b,Confirmed,0.66,0.96,4.942782,0.05714,0.06,Primary Transit,Kepler-15,1.02,0.99,5515.0,0.36,755.38,Unknown,2011,2021-02-05,Published in a refereed paper
Kepler-1600 b,Confirmed,0.37,0.279,386.370548,0.102,0.062,Primary Transit,Kepler-1600,0.86,0.8658,5102.0,0.11,1030.81,K0V,2016,2021-02-05,Announced on a website
Kepler-1600 c,Confirmed,0.37,0.17326,7.298049927,0.0689,0.0,Primary Transit,Kepler-1600,0.86,0.8658,5102.0,0.11,1030.81,K0V,2017,2024-06-09,Announced on a website
Kepler-1601 b,Confirmed,0.37,0.073,2.20921951,0.102,0.062,Primary Transit,Kepler-1601,1.04,1.07,5869.0,0.05,660.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1602 b,Confirmed,0.37,0.12,11.17931605,0.102,0.062,Primary Transit,Kepler-1602,1.22,1.36,6296.0,0.02,815.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1603 b,Confirmed,0.37,0.115,2.27163926,0.102,0.062,Primary Transit,Kepler-1603,1.21,1.31,6241.0,0.07,1751.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1604 b,Confirmed,0.37,0.126,0.68368426,0.102,0.062,Primary Transit,Kepler-1604,0.81,0.76,4976.0,0.02,562.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1605 b,Confirmed,0.37,0.096,85.7565495,0.102,0.062,Primary Transit,Kepler-1605,0.86,0.82,5280.0,-0.01,224.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1606 b,Confirmed,0.37,0.185,196.435224,0.102,0.062,Primary Transit,Kepler-1606,0.9,0.86,5422.0,0.01,880.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1607 b,Confirmed,0.37,0.082,13.6473676,0.102,0.062,Primary Transit,Kepler-1607,1.14,1.21,6116.0,0.05,735.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1608 b,Confirmed,0.37,0.154,16.4735686,0.102,0.062,Primary Transit,Kepler-1608,0.75,0.72,4992.0,-0.24,832.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1609 b,Confirmed,0.37,0.198,114.34219,0.102,0.062,Primary Transit,Kepler-1609,1.18,1.27,6132.0,0.1,1483.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-160 b,Confirmed,0.37,0.153,4.309397,0.05511,0.062,Primary Transit,Kepler-160,0.95,1.12,5471.0,-0.361,962.92,Unknown,2014,2021-02-05,Announced on a website
Kepler-160 c,Confirmed,0.37,0.335,13.699429,0.1192,0.062,Primary Transit,Kepler-160,0.95,1.12,5471.0,-0.361,962.92,Unknown,2014,2021-02-05,Announced on a website
Kepler-160 d,Confirmed,0.31463,0.219,30.0,0.17,0.062,TTV,Kepler-160,0.95,1.12,5471.0,-0.361,962.92,Unknown,2020,2021-02-05,Published in a refereed paper
Kepler-1610 b,Confirmed,0.37,0.144,8.70181574,0.102,0.062,Primary Transit,Kepler-1610,0.91,0.87,5383.0,0.1,1063.0,Unknown,2016,2024-05-29,Announced on a website
